Movie_ID,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
1,The Shawshank Redemption,1994,A,142,Drama,9.3,80,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,"2,83,41,469"
2,The Godfather,1972,A,175,Crime,9.2,100,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,"13,49,66,411"
3,The Dark Knight,2008,UA,152,Action,9,84,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,"53,48,58,444"
4,The Godfather: Part II,1974,A,202,Crime,9,90,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,"5,73,00,000"
5,12 Angry Men,1957,U,96,Crime,9,96,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,"43,60,000"
6,The Lord of the Rings: The Return of the King,2003,U,201,Action,8.9,94,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,"37,78,45,905"
7,Pulp Fiction,1994,A,154,Crime,8.9,94,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,"10,79,28,762"
8,Schindler's List,1993,A,195,Biography,8.9,94,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,"9,68,98,818"
9,Inception,2010,UA,148,Action,8.8,74,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,"29,25,76,195"
10,Fight Club,1999,A,139,Drama,8.8,66,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,"3,70,30,102"
11,The Lord of the Rings: The Fellowship of the Ring,2001,U,178,Action,8.8,92,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481,"31,55,44,750"
12,Forrest Gump,1994,UA,142,Drama,8.8,82,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221,"33,02,52,182"
13,"Il buono, il brutto, il cattivo",1966,A,161,Western,8.8,90,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo GiuffrÃ¨,688390,"61,00,000"
14,The Lord of the Rings: The Two Towers,2002,UA,179,Action,8.7,87,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555,"34,25,51,365"
15,The Matrix,1999,A,136,Action,8.7,73,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426,"17,14,79,930"
16,Goodfellas,1990,A,146,Biography,8.7,90,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727,"4,68,36,394"
17,Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,Action,8.7,82,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315,"29,04,75,067"
18,One Flew Over the Cuckoo's Nest,1975,A,133,Drama,8.7,83,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088,"11,20,00,000"
19,Hamilton,2020,PG-13,160,Biography,8.6,90,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,RenÃ©e Elise Goldsberry,55291,"6,80,34,751"
20,Gisaengchung,2019,A,132,Comedy,8.6,96,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,"5,33,67,844"
21,Soorarai Pottru,2020,U,153,Drama,8.6,78,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,54995,"6,80,34,751"
22,Interstellar,2014,UA,169,Adventure,8.6,74,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,"18,80,20,017"
23,Cidade de Deus,2002,A,130,Crime,8.6,79,Fernando Meirelles,KÃ¡tia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256,"75,63,397"
24,Sen to Chihiro no kamikakushi,2001,U,125,Animation,8.6,96,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376,"1,00,55,859"
25,Saving Private Ryan,1998,R,169,Drama,8.6,91,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804,"21,65,40,909"
26,The Green Mile,1999,A,189,Crime,8.6,61,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794,"13,68,01,374"
27,La vita Ã¨ bella,1997,U,116,Comedy,8.6,59,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629,"5,75,98,247"
28,Se7en,1995,A,127,Crime,8.6,65,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1445096,"10,01,25,643"
29,The Silence of the Lambs,1991,A,118,Crime,8.6,85,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197,"13,07,42,922"
30,Star Wars,1977,UA,121,Action,8.6,90,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1231473,"32,27,40,140"
31,Seppuku,1962,U,133,Action,8.6,85,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,TetsurÃ´ Tanba,42004,"6,80,34,751"
32,Shichinin no samurai,1954,U,207,Action,8.6,98,Akira Kurosawa,ToshirÃ´ Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,315744,"2,69,061"
33,It's a Wonderful Life,1946,PG,130,Drama,8.6,89,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,405801,"6,80,34,751"
34,Joker,2019,A,122,Crime,8.5,59,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252,"33,54,51,311"
35,Whiplash,2014,A,106,Drama,8.5,88,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585,"1,30,92,000"
36,The Intouchables,2011,UA,112,Biography,8.5,57,Olivier Nakache,Ã‰ric Toledano,FranÃ§ois Cluzet,Omar Sy,Anne Le Ny,760360,"1,31,82,281"
37,The Prestige,2006,U,130,Drama,8.5,66,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,1190259,"5,30,89,891"
38,The Departed,2006,A,151,Crime,8.5,85,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,1189773,"13,23,84,315"
39,The Pianist,2002,R,150,Biography,8.5,85,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,729603,"3,25,72,577"
40,Gladiator,2000,UA,155,Action,8.5,67,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,1341460,"18,77,05,427"
41,American History X,1998,R,119,Drama,8.5,62,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,1034705,"67,19,864"
42,The Usual Suspects,1995,A,106,Crime,8.5,77,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,991208,"2,33,41,568"
43,LÃ©on,1994,A,110,Action,8.5,64,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,1035236,"1,95,01,238"
44,The Lion King,1994,U,88,Animation,8.5,88,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,942045,"42,27,83,777"
45,Terminator 2: Judgment Day,1991,U,137,Action,8.5,75,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,995506,"20,48,43,350"
46,Nuovo Cinema Paradiso,1988,U,155,Drama,8.5,80,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,230763,"1,19,90,401"
47,Hotaru no haka,1988,U,89,Animation,8.5,94,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,235231,"6,80,34,751"
48,Back to the Future,1985,U,116,Adventure,8.5,87,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,1058081,"21,06,09,762"
49,Once Upon a Time in the West,1968,U,165,Western,8.5,80,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,302844,"53,21,508"
50,Psycho,1960,A,109,Horror,8.5,97,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,604211,"3,20,00,000"
51,Casablanca,1942,U,102,Drama,8.5,100,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,522093,"10,24,560"
52,Modern Times,1936,G,87,Comedy,8.5,96,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,217881,"1,63,245"
53,City Lights,1931,G,87,Comedy,8.5,99,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,167839,"19,181"
54,CapharnaÃ¼m,2018,A,126,Drama,8.4,75,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,62635,"16,61,096"
55,Ayla: The Daughter of War,2017,U,125,Biography,8.4,78,Can Ulkay,Erdem Can,Ã‡etin Tekindor,Ismail Hacioglu,Kyung-jin Lee,34112,"6,80,34,751"
56,Vikram Vedha,2017,UA,147,Action,8.4,78,Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath,28401,"6,80,34,751"
